               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094369,            0.027309,            0.067123,          0.00059255,           0.0034722,          0.00073182,          0.00018577,            0.085014,            0.018786,            0.075643,            0.070174,            0.003314,            0.003314
                   1,            0.087934,            0.028435,            0.063991,             0.59172,            0.052083,            0.010227,           0.0036857,            0.084787,            0.029483,             0.10773,            0.040109,           0.0065815,           0.0065815
                   2,            0.083825,            0.028768,            0.058861,           0.0054469,             0.21047,             0.00777,           0.0022416,            0.076011,            0.029331,            0.062907,           0.0099768,            0.009783,            0.009783
                   3,            0.071943,            0.025657,            0.051499,             0.14018,             0.14922,            0.055542,            0.018546,            0.064884,            0.027757,             0.04855,            0.009703,            0.009703,            0.009703
                   4,            0.064429,            0.022902,            0.041538,             0.44131,             0.41127,             0.32008,             0.11502,            0.057731,            0.017678,            0.035462,            0.009703,            0.009703,            0.009703
                   5,            0.058176,            0.020825,            0.034409,             0.46552,             0.57995,             0.47545,             0.19826,            0.047791,            0.012572,            0.026814,            0.009604,            0.009604,            0.009604
                   6,            0.054733,            0.019402,            0.029681,              0.4137,             0.69405,             0.59476,             0.24392,            0.046181,             0.01399,            0.021236,            0.009505,            0.009505,            0.009505
                   7,            0.051301,            0.018424,            0.025914,             0.51729,             0.73751,             0.67879,             0.32227,            0.042448,            0.010905,            0.020114,            0.009406,            0.009406,            0.009406
                   8,            0.049249,            0.017999,            0.023151,             0.61339,             0.74514,             0.71081,             0.33174,            0.042373,            0.010761,            0.019436,            0.009307,            0.009307,            0.009307
                   9,            0.047547,            0.017622,            0.022069,             0.60439,             0.67049,             0.72866,             0.34291,            0.042341,             0.01176,            0.020647,            0.009208,            0.009208,            0.009208
                  10,            0.046159,            0.016984,            0.019555,             0.76803,             0.79322,              0.8443,             0.43476,            0.037944,            0.009478,            0.014351,            0.009109,            0.009109,            0.009109
